iShares Core S&P/TSX Capped Composite Index ETF,,,,,,,,,,,,,,,
Fund Holdings as of,31-Dec-20,,,,,,,,,,,,,,
Inception Date,16-Feb-01,,,,,,,,,,,,,,
Total Net Assets ($000s),"7,280,173,716.62",,,,,,,,,,,,,,
Shares Outstanding,"263,000,000.00",,,,,,,,,,,,,,
Stock,-,,,,,,,,,,,,,,
Bond,-,,,,,,,,,,,,,,
Cash,-,,,,,,,,,,,,,,
Other,-,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Sector,Ticker,Name,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,CUSIP,Exchange,Location of Risk,Currency,Market Currency,FX Rate
Energy,KEY,KEYERA CORP,0.2,22.62,"648,767.00","14,675,109.54","14,675,109.54",Energy,B3SGMV5,493271100,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,KXS,KINAXIS INC,0.2,180.34,"79,441.00","14,326,389.94","14,326,389.94",Information Technology,BN85P68,49448Q109,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,AP.UN,ALLIED PROPERTIES REAL ESTATE INVT,0.19,37.83,"374,160.00","14,154,472.80","14,154,472.80",Real Estate,2387701,19456102,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,GRT.UN,GRANITE REAL ESTATE INVESTMENT STA,0.19,77.9,"181,381.00","14,129,579.90","14,129,579.90",Real Estate,B9GS088,387437114,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,BYD,BOYD GROUP INCOME INC,0.19,219.56,"63,127.00","13,860,164.12","13,860,164.12",Industrials,BKPNC96,103310108,Toronto Stock Exchange,Canada,CAD,CAD,1
Cash and/or Derivatives,CAD,CAD CASH,0.19,100,"13,633,845.00","13,633,845.38","13,633,845.38",Cash and/or Derivatives,-,-,-,Canada,CAD,CAD,1
Industrials,STN,STANTEC INC,0.19,41.28,"329,623.00","13,606,837.44","13,606,837.44",Industrials,2854238,85472N109,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,GFL,GFL ENVIRONMENTAL SUBORDINATE VOTI,0.18,37.11,"361,226.00","13,405,096.86","13,405,096.86",Industrials,BKDT649,36168Q104,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,FTT,FINNING INTERNATIONAL INC,0.18,27.03,"476,063.00","12,867,982.89","12,867,982.89",Industrials,2339177,318071404,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,AGI,ALAMOS GOLD INC CLASS A,0.18,11.12,"1,153,758.00","12,829,788.96","12,829,788.96",Materials,BZ3DNP6,11532108,Toronto Stock Exchange,Canada,CAD,CAD,1
Information Technology,BB,BLACKBERRY LTD,0.18,8.44,"1,511,594.00","12,757,853.36","12,757,853.36",Information Technology,BCBHZ31,09228F103,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,TOU,TOURMALINE OIL CORP,0.17,17.16,"738,265.00","12,668,627.40","12,668,627.40",Energy,B3QJ0H8,89156V106,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,WFT,WEST FRASER TIMBER LTD,0.16,81.78,"144,110.00","11,785,315.80","11,785,315.80",Materials,2951098,952845105,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,BLX,BORALEX INC CLASS A,0.16,47.24,"244,661.00","11,557,785.64","11,557,785.64",Utilities,2099084,09950M300,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,SNC,SNC LAVALIN INC,0.15,21.73,"517,755.00","11,250,816.15","11,250,816.15",Industrials,2763884,78460T105,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,HR.UN,HANDR REAL ESTATE INVESTMENT TRUST,0.15,13.29,"845,811.00","11,240,828.19","11,240,828.19",Real Estate,BGM8DW6,403925407,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,IVN,IVANHOE MINES LTD CLASS A,0.15,6.86,"1,628,047.00","11,168,402.42","11,168,402.42",Materials,BD73C40,46579R104,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,CU,CANADIAN UTILITIES LTD CLASS A,0.15,31.09,"352,444.00","10,957,483.96","10,957,483.96",Utilities,2172639,136717832,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,CPX,CAPITAL POWER CORP,0.15,34.98,"311,922.00","10,911,031.56","10,911,031.56",Utilities,B61KF83,14042M102,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,DOO,BRP SUBORDINATE VOTING INC,0.15,84.09,"129,346.00","10,876,705.14","10,876,705.14",Consumer Discretionary,B9B3FG1,05577W200,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,EDV,ENDEAVOUR MINING CORP,0.15,29.62,"359,513.00","10,648,775.06","10,648,775.06",Materials,BDGN4L2,-,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,PBH,PREMIUM BRANDS HOLDINGS CORP,0.15,100.73,"105,235.00","10,600,321.55","10,600,321.55",Consumer Staples,B1VJFK7,74061A108,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,MX,METHANEX CORP,0.14,58.49,"179,607.00","10,505,213.43","10,505,213.43",Materials,2654416,59151K108,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,CHP.UN,CHOICE PROPERTIES REAL ESTATE INVE,0.14,13.01,"800,166.00","10,410,159.66","10,410,159.66",Real Estate,BBX46Q3,17039A106,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,CIGI,COLLIERS INTERNATIONAL GROUP SUBOR,0.14,113.28,"89,964.00","10,191,121.92","10,191,121.92",Real Estate,BYL7SB4,194693107,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,FR,FIRST MAJESTIC SILVER CORP,0.13,17.08,"570,930.00","9,751,484.40","9,751,484.40",Materials,2833583,32076V103,Toronto Stock Exchange,Canada,CAD,CAD,1
Utilities,INE,INNERGEX RENEWABLE ENERGY INC,0.13,27.37,"348,955.00","9,550,898.35","9,550,898.35",Utilities,B29TNV3,45790B104,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Staples,PRMW,PRIMO WATER CORP,0.13,19.96,"472,155.00","9,424,213.80","9,424,213.80",Consumer Staples,BLKVVX9,74167P108,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,CG,CENTERRA GOLD INC,0.13,14.74,"633,088.00","9,331,717.12","9,331,717.12",Materials,B01NXQ4,152006102,Toronto Stock Exchange,Canada,CAD,CAD,1
Industrials,CJT,CARGOJET INC,0.13,214.83,"42,635.00","9,159,277.05","9,159,277.05",Industrials,BJXM607,14179V503,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,SJ,STELLA JONES INC,0.12,46.28,"196,031.00","9,072,314.68","9,072,314.68",Materials,2809777,85853F105,Toronto Stock Exchange,Canada,CAD,CAD,1
Financials,CIX,CI FINANCIAL CORP,0.12,15.78,"561,790.00","8,865,046.20","8,865,046.20",Financials,B3KT0S5,125491100,Toronto Stock Exchange,Canada,CAD,CAD,1
Energy,GEI,GIBSON ENERGY INC,0.12,20.56,"430,961.00","8,860,558.16","8,860,558.16",Energy,B44WH97,374825206,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,SRU.UN,SMARTCENTRES RL ESTATE INVESTMENT,0.12,23.08,"378,450.00","8,734,626.00","8,734,626.00",Real Estate,BZ22BK5,83179X108,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,NG,NOVAGOLD RESOURCES INC,0.12,12.32,"707,798.00","8,720,071.36","8,720,071.36",Materials,2135450,6.70E+210,Toronto Stock Exchange,Canada,CAD,CAD,1
Materials,ELD,ELDORADO GOLD CORP,0.12,16.87,"516,228.00","8,708,766.36","8,708,766.36",Materials,BHZJ5Y9,284902509,Toronto Stock Exchange,Canada,CAD,CAD,1
Real Estate,FCR.UN,FIRST CAPITAL REALTY REAL ESTATE I,0.12,13.55,"642,527.00","8,706,240.85","8,706,240.85",Real Estate,BKSLS55,31890B103,Toronto Stock Exchange,Canada,CAD,CAD,1
Consumer Discretionary,LNR,LINAMAR CORP,0.12,67.42,"128,925.00","8,692,123.50","8,692,123.50",Consumer Discretionary,2516022,53278L107,Toronto Stock Exchange,Canada,CAD,CAD,1
